n_rel x_r
1.500000000000000000e+01 1.700000000000000000e+01
1.251537606978048700e+01 1.620894031710075112e+01
1.500000000000000000e+01 1.500000000000000000e+01
1.421315099999999987e+01 1.611258799999999880e+01
1.489759148999999994e+01 1.866378775000000090e+01
1.250000000000000000e+01 2.200000000000000000e+01
1.039078175999999942e+01 1.891005713299999869e+01
1.459923367799999916e+01 1.990187444700000086e+01
1.350000000000000000e+01 2.800000000000000000e+01
6.000000000000000000e+00 1.775000000000000000e+01
1.100000000000000000e+01 1.650000000000000000e+01
9.019223768050000700e+00 1.667947489999999888e+01
1.336631279690000085e+01 1.954811653106600033e+01
4.000000000000000000e+00 1.700000000000000000e+01
1.350000000000000000e+01 2.250000000000000000e+01
7.316871068910160147e+00 1.642884985334006842e+01
1.287112815567999924e+01 1.883430017079000152e+01
1.300000000000000000e+01 2.014999999999999858e+01
1.368848720856800050e+01 1.830249281553999907e+01
1.329421329800000073e+01 1.931701177369999911e+01
1.746546074669168291e+01 1.880951077814545158e+01
1.926837188174931015e+01 1.910534334309214444e+01
9.673696332772750850e+01 1.487197573498557901e+01
3.227568204354878389e+01 1.943995617397477815e+01
3.000000000000000000e+01 1.550499999999999901e+01
2.767168997363358685e+01 2.354999174567743125e+01
4.249183008991526123e+01 1.572527088829697206e+01
7.418278245552328087e+01 2.384114673337313306e+01
3.524595350308209873e+01 2.056562937824654114e+01
3.551809593338348492e+01 1.822332358738670521e+01
6.530052723431467143e+01 2.913481550107270124e+01
3.963887405553352750e+01 2.647877501736377681e+01
3.448660093266872906e+01 2.143977323354760500e+01
8.651762559064432878e+01 1.788183595313001462e+01
3.460243841494467887e+01 1.806819411219534288e+01
8.812549137542869460e+01 2.153693305372728162e+01
7.759271492582253416e+01 1.894834583200904987e+01
9.836566602483031829e+01 2.737523579800183171e+01
4.939811059576106800e+01 1.798112941010171895e+01
5.917045310980766715e+01 1.367366102370898773e+01
6.338652553087325003e+01 2.056308637210490531e+01
8.256507848712854525e+01 2.081221641559459101e+01
6.831388300381138379e+01 1.920004724491566250e+01
5.299060227712417515e+01 2.664883498299668219e+01
6.873414514188317526e+01 1.620731582154419925e+01
6.683470588012939118e+01 2.093337188168955976e+01
5.233883850571904617e+01 2.050413228952662337e+01
8.084576792952654500e+01 1.355086288948015039e+01
3.351810039514416673e+01 2.146472377305933676e+01
5.708044845767582842e+01 1.986588709573780420e+01
2.921833045056140676e+01 1.786117295696868723e+01
5.379169051778229260e+01 1.778257190920967545e+01
9.975700318497780472e+01 1.805761403413812616e+01
7.248173007208494312e+01 1.865508995236621814e+01
9.803331472490518195e+01 1.825551658887664175e+01
8.598668799244470051e+01 2.749416067951563747e+01
9.448259054137768942e+01 2.057847610711905162e+01
4.592455683306563685e+01 2.321942988950356579e+01
9.987280225902568986e+01 2.019380141354294267e+01
2.194935882146928918e+01 2.744892160049178642e+01
3.763042129695699600e+01 1.890814267350025801e+01
6.375871882681470026e+01 1.864522535995144281e+01
6.625656057388043507e+01 2.364755652979622980e+01
2.356790709526357119e+01 1.366631083922804279e+01
9.084249671973364570e+01 1.833142651696521952e+01
7.961107460212386400e+01 2.225431089432063914e+01
5.911701850238395650e+01 2.225431089432063914e+01
9.880794869702323524e+01 2.253214961874220634e+01
4.450876893095018971e+01 2.038026146206399503e+01
6.673221759116830754e+01 8.023575174804138399e+00
1.872869239997213953e+01 2.437014085411439979e+01
6.641349251387002539e+01 1.897208993322863080e+01
8.802866516884429871e+01 1.852399889012959733e+01
8.937401167292433968e+01 1.352334221825625526e+01
6.620568409263543685e+01 1.873159324949018867e+01
9.996652843156937251e+01 1.888250041028221204e+01
4.759100405337127881e+01 1.450023263800614082e+01
4.208523574544444301e+01 1.928824005102930883e+01
7.444491012838915367e+01 1.366332895742745990e+01
2.612303662883666533e+01 2.054470906679851083e+01
6.363158634640759459e+01 1.898174940355921336e+01
9.724021782032137651e+01 1.912266602713086527e+01
8.161607010612330271e+01 1.788492429161131625e+01
4.545396476049970858e+01 1.928874979557815550e+01
5.989885512920775312e+01 1.810252520696607093e+01
9.226347015342102509e+01 1.940949457546956936e+01
9.636816114555404056e+01 1.921078649174540587e+01
2.829303558870462609e+01 1.999056032237847091e+01
9.223047842511135741e+01 2.148051727943340694e+01
8.596068366464199073e+01 1.967346967969109173e+01
4.981300802215385914e+01 2.139787219485567604e+01
7.100248871716682686e+01 1.757777886092539887e+01
9.423087901732797889e+01 1.787733546477767987e+01
9.629411490701096454e+01 1.892625455829087500e+01
7.055376004685415126e+01 2.078489135818290734e+01
8.466840793921598163e+01 2.035193930276639307e+01
